output,unit,VAL_MAE,VAL_RMSE,VAL_MAX,TEST_MAE,TEST_RMSE,TEST_MAX
x,mm,2.747743000319862,6.159585417860431,68.25796027961337,2.601113122445859,5.932105827972185,62.395626811098396
y,mm,2.887737024441091,6.6779690815190555,94.62111272472242,2.749341825515742,6.584289731815574,92.75090603052502
z,mm,2.5164567788560515,5.064971961888662,48.09935007841907,2.4146332712836194,4.928422373478708,54.247491058451004
roll,deg,2.9142029950472033,6.193584790446003,59.13099275090737,2.7722450169561452,6.047500284247811,62.050436719616386
pitch,deg,2.544526792399491,5.553857497303188,68.53847780462924,2.43513625527771,5.486978143401885,66.94316422425415
yaw,deg,3.46087173332995,6.599430119780975,53.27245783257908,3.364242796054212,6.510415425293144,55.20140191403539
