output,unit,VAL_MAE,VAL_RMSE,VAL_MAX,TEST_MAE,TEST_RMSE,TEST_MAX
x,mm,2.5023261485814627,5.7819807315388765,67.47674696499917,2.37841354023791,5.592606787092974,61.640512998931854
y,mm,2.634668347406339,6.252891519726113,91.94842175826446,2.5250533397289048,6.183406672055509,89.77770381902165
z,mm,2.084472824437524,4.602395384027867,47.67951208067158,2.014276468049495,4.51590089155063,54.62485243286219
roll,deg,2.6146808523460714,5.752346099092161,58.166865438966326,2.4897581923315535,5.622914009942002,61.66162326776054
pitch,deg,2.287348804545377,5.265692155772854,65.82149399467049,2.183117553324927,5.215187886890455,63.993703485607035
yaw,deg,3.1256334483204693,6.0553612116915065,52.1178313589067,3.062922242052967,6.002071454037151,55.11164900929061
