output,unit,VAL_MAE,VAL_RMSE,VAL_MAX,TEST_MAE,TEST_RMSE,TEST_MAX
x,mm,0.35594242071709187,0.4268642004360394,1.64608424666676,0.3565667253682055,0.42814843402491126,1.4335184203440576
y,mm,0.34160803668460166,0.41461601905285755,1.762570558176833,0.3448998399277452,0.4179447493061732,1.4716820983743162
z,mm,0.11806447571829527,0.13605803607247272,0.6313889919403293,0.1180319472852197,0.1356384876152963,0.43467971494256175
roll,deg,0.010884120677916132,0.018147916422007474,0.1433223437105588,0.010442185636156778,0.017468522640559415,0.17599187678786432
pitch,deg,0.008715086932273325,0.014598409077608059,0.18833755427561905,0.008676173219061214,0.014852774973671042,0.1632505140640137
yaw,deg,0.0058972582404988524,0.00949949500941737,0.13615211921651116,0.005710221206703437,0.009205481226897922,0.16343635492424835
