output,unit,VAL_MAE,VAL_RMSE,VAL_MAX,TEST_MAE,TEST_RMSE,TEST_MAX
x,mm,4.44079885460319,6.240801911479214,60.04514493303165,4.382918490529422,6.1831021717832435,55.704850080801975
y,mm,4.615444226697568,6.7326518670045425,87.44438352964045,4.532029864295611,6.6662652994345715,88.76700249064513
z,mm,2.3196086976215837,4.492499700199536,46.99968573138533,2.257626750826108,4.414214100449787,53.78923470193692
roll,deg,2.7436521911555163,5.6666994237749995,57.2175292395735,2.6228552736968624,5.541003834515147,60.852901187870216
pitch,deg,2.454046679269114,5.147545799972596,65.6960869158216,2.3626093730188336,5.119994634978022,63.47365987798758
yaw,deg,3.2879031352314247,5.852479305043671,50.624187094619266,3.252294084613739,5.804944003530582,52.207724282827776
